mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396474;"FLEXORIPP 1¼"" FS-KMR-FS 1¼""x260mm Rd1,75m";Wasserzählerschacht;4250204493078;90289090;Stk;1;1.563,60;;2,50%;46,000;682,0;820,0;704,0
0396475;"FLEXORIPP 1¼"" FS-KMR-FS 1¼""x260mm Rd2,00m";Wasserzählerschacht;4250204493085;90289090;Stk;1;1.666,29;;2,50%;49,900;682,0;820,0;704,0
0396480;"FLEXORIPP 1"" FS-KMR-FS 1¼""x175mm Rd0,75m";Österreich;4250204493504;90289090;Stk;1;1.202,79;;2,50%;31,300;682,0;1070,0;704,0
0396481;"FLEXORIPP 1"" FS-KMR-FS 1¼""x175mm Rd1,00m";Österreich;4250204492347;90289090;Stk;1;1.146,00;;2,50%;31,300;682,0;1070,0;704,0
0396482;"FLEXORIPP 1"" FS-KMR-FS 1¼""x175mm Rd1,25m";Österreich;4250204492354;90289090;Stk;1;1.173,38;;2,50%;36,200;682,0;1320,0;704,0
0396483;"FLEXORIPP 1"" FS-KMR-FS 1¼""x175mm Rd1,50m";Österreich;4250204492361;90289090;Stk;1;1.248,70;;2,50%;40,000;682,0;1570,0;704,0
0396484;"FLEXORIPP 1"" FS-KMR-FS 1¼""x175mm Rd1,75m";Österreich;4250204492378;90289090;Stk;1;1.351,38;;2,50%;44,000;682,0;1820,0;704,0
0396485;"FLEXORIPP 1"" FS-KMR-FS 1¼""x175mm Rd2,00m";Österreich;4250204492385;90289090;Stk;1;1.447,22;;2,50%;47,900;682,0;2070,0;704,0
0396491;"FLEXORIPP 1"" FS-KMR-FS 1""x220mm Rd1,00m";Schweiz;4250204492392;90289090;Stk;1;1.146,00;;2,50%;33,100;682,0;1070,0;704,0
0396492;"FLEXORIPP 1"" FS-KMR-FS 1""x220mm Rd1,25m";Schweiz;4250204492408;90289090;Stk;1;1.173,38;;2,50%;38,100;682,0;1320,0;704,0
0396493;"FLEXORIPP 1"" FS-KMR-FS 1""x220mm Rd1,50m";Schweiz;4250204492415;90289090;Stk;1;1.248,70;;2,50%;41,800;682,0;1570,0;704,0
0396494;"FLEXORIPP 1"" FS-KMR-FS 1""x220mm Rd1,75m";Schweiz;4250204492422;90289090;Stk;1;1.351,38;;2,50%;45,900;682,0;1820,0;704,0
0396495;"FLEXORIPP 1"" FS-KMR-FS 1""x220mm Rd2,00m";Schweiz;4250204492439;90289090;Stk;1;1.447,22;;2,50%;49,800;682,0;2070,0;704,0
0396610;"FLEXORIPP-P2 1"" KH-KH 1""x190mm Rd0,75m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703107;90289090;Stk;1;1.901,38;;2,50%;36,593;682,0;1070,0;704,0
0396611;"FLEXORIPP-P2 1"" KH-KH 1""x190mm Rd1,00m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703114;90289090;Stk;1;1.901,38;;2,50%;36,783;682,0;1070,0;704,0
0396612;"FLEXORIPP-P2 1"" KH-KH 1""x190mm Rd1,25m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703121;90289090;Stk;1;2.024,38;;2,50%;46,225;682,0;1070,0;704,0
0396613;"FLEXORIPP-P2 1"" KH-KH 1""x190mm Rd1,50m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703138;90289090;Stk;1;2.101,25;;2,50%;46,123;682,0;1070,0;704,0
0396614;"FLEXORIPP-P2 1"" KH-KH 1""x190mm Rd1,75m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703145;90289090;Stk;1;2.270,38;;2,50%;50,193;682,0;1070,0;704,0
0396615;"FLEXORIPP-P2 1"" KH-KH 1""x190mm Rd2,00m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703152;90289090;Stk;1;2.378,00;;2,50%;54,073;682,0;1070,0;704,0
0396620;"FLEXORIPP-P2 1"" FS-KSR 1""x190mm Rd0,75m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703169;90289090;Stk;1;2.070,50;;2,50%;37,835;682,0;1070,0;704,0
0396621;"FLEXORIPP-P2 1"" FS-KSR 1""x190mm Rd1,00m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703176;90289090;Stk;1;2.070,50;;2,50%;38,025;682,0;1070,0;704,0
0396622;"FLEXORIPP-P2 1"" FS-KSR 1""x190mm Rd1,25m";Wasserzählerschacht mit 2 WZ-Anlagen und 2 Ausgängen;4255651703183;90289090;Stk;1;2.126,88;;2,50%;43,495;682,0;1070,0;704,0
