Kategorie,Artikelnummer,Beschreibung,Ausfuehrung,Gewinde,Baulaenge,Rohrdeckung,Klasse,Befestigung,Material,PE_Rohr_d,Preis
Schacht,0396114,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",190 mm,"1.75",,,"","",1245.95
Schacht,0396115,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",190 mm,"2.00",,,"","",1348.64
Schacht,0396140,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",220 mm,"0.75",,,"","",1061.11
Schacht,0396141,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",220 mm,"1.00",,,"","",1061.11
Schacht,0396142,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",220 mm,"1.25",,,"","",1102.19
Schacht,0396143,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",220 mm,"1.50",,,"","",1177.51
Schacht,0396144,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",220 mm,"1.75",,,"","",1273.34
Schacht,0396145,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1""",220 mm,"2.00",,,"","",1376.02
Schacht,0396130,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",175 mm,"0.75",,,"","",1061.11
Schacht,0396131,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",175 mm,"1.00",,,"","",1061.11
Schacht,0396132,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",175 mm,"1.25",,,"","",1102.19
Schacht,0396133,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",175 mm,"1.50",,,"","",1177.51
Schacht,0396134,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",175 mm,"1.75",,,"","",1273.34
Schacht,0396135,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",175 mm,"2.00",,,"","",1376.02
Schacht,0396120,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",260 mm,"0.75",,,"","",1280.17
Schacht,0396121,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",260 mm,"1.00",,,"","",1280.17
Schacht,0396122,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",260 mm,"1.25",,,"","",1321.26
Schacht,0396123,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",260 mm,"1.50",,,"","",1389.72
Schacht,0396124,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",260 mm,"1.75",,,"","",1492.39
Schacht,0396125,"FLEXORIPP WZ-Schacht","Kugelhahn – KSR-Ventil","1¼""",260 mm,"2.00",,,"","",1595.09
Schacht,0396060,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",190 mm,"0.75",,,"","",1211.72
Schacht,0396061,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",190 mm,"1.00",,,"","",1211.72
Schacht,0396062,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",190 mm,"1.25",,,"","",1252.81
Schacht,0396063,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",190 mm,"1.50",,,"","",1321.26
Schacht,0396064,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",190 mm,"1.75",,,"","",1423.94
Schacht,0396065,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",190 mm,"2.00",,,"","",1526.62
Schacht,0396090,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",220 mm,"0.75",,,"","",1239.11
Schacht,0396091,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",220 mm,"1.00",,,"","",1239.11
Schacht,0396092,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",220 mm,"1.25",,,"","",1273.34
Schacht,0396093,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",220 mm,"1.50",,,"","",1341.8
Schacht,0396094,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",220 mm,"1.75",,,"","",1451.35
Schacht,0396095,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1""",220 mm,"2.00",,,"","",1526.62
Schacht,0396080,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",175 mm,"0.75",,,"","",1239.11
Schacht,0396081,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",175 mm,"1.00",,,"","",1239.11
Schacht,0396082,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",175 mm,"1.25",,,"","",1273.34
Schacht,0396083,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",175 mm,"1.50",,,"","",1341.8
Schacht,0396084,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",175 mm,"1.75",,,"","",1451.35
Schacht,0396085,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",175 mm,"2.00",,,"","",1554.02
Schacht,0396070,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",260 mm,"0.75",,,"","",1458.18
Schacht,0396071,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",260 mm,"1.00",,,"","",1458.18
Schacht,0396072,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",260 mm,"1.25",,,"","",1499.26
Schacht,0396073,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",260 mm,"1.50",,,"","",1567.71
Schacht,0396074,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",260 mm,"1.75",,,"","",1670.39
Schacht,0396075,"FLEXORIPP WZ-Schacht","Kugelhahn – Druckminderer – Kugelhahn","1¼""",260 mm,"2.00",,,"","",1773.08
