Kategorie,Artikelnummer,Beschreibung,Ausfuehrung,Gewinde,Baulaenge,Rohrdeckung,Klasse,Befestigung,Material,PE_Rohr_d,Preis
Schacht,0396222,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",260 mm,"1.25",,,"","",1337.69
Schacht,0396223,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",260 mm,"1.50",,,"","",1406.15
Schacht,0396224,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",260 mm,"1.75",,,"","",1508.83
Schacht,0396225,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1¼""",260 mm,"2.00",,,"","",1611.53
Schacht,0396740,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1½""",260 mm,"0.75",,,"","",1516.04
Schacht,0396741,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1½""",260 mm,"1.00",,,"","",1516.04
Schacht,0396742,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1½""",260 mm,"1.25",,,"","",1546.67
Schacht,0396743,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1½""",260 mm,"1.50",,,"","",1587.43
Schacht,0396744,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1½""",260 mm,"1.75",,,"","",1602.3
Schacht,0396745,"FLEXORIPP WZ-Schacht","Kugelhahn – KMR – Kugelhahn","1½""",260 mm,"2.00",,,"","",1804.1
Schacht,0396010,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",190 mm,"0.75",,,"","",1006.36
Schacht,0396011,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",190 mm,"1.00",,,"","",1006.36
Schacht,0396012,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",190 mm,"1.25",,,"","",1047.41
Schacht,0396013,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",190 mm,"1.50",,,"","",1115.89
Schacht,0396013-WRS,"FLEXORIPP WZ-Schacht mit Wellrohrschlauch","Kugelhahn – Kugelhahn","1""",190 mm,"1.50",,,"","",1620.01
Schacht,0396014,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",190 mm,"1.75",,,"","",1218.56
Schacht,0396015,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",190 mm,"2.00",,,"","",1321.26
Schacht,0396040,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",220 mm,"0.75",,,"","",1033.72
Schacht,0396041,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",220 mm,"1.00",,,"","",1033.72
Schacht,0396042,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",220 mm,"1.25",,,"","",1074.82
Schacht,0396043,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",220 mm,"1.50",,,"","",1143.25
Schacht,0396044,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",220 mm,"1.75",,,"","",1245.95
Schacht,0396045,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1""",220 mm,"2.00",,,"","",1348.64
Schacht,0396030,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",175 mm,"0.75",,,"","",1033.72
Schacht,0396031,"FLEXORIPP WZ-Schacht","Kugelhahn – Kugelhahn","1¼""",175 mm,"1.00",,,"","",1033.72
