mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396010;"FLEXORIPP 1"" KH-KH 1""x190mm Rd0,75m";;4250204492507;90289090;Stk;;1.031,52;;;25,6;682;820;704
0396011;"FLEXORIPP 1"" KH-KH 1""x190mm Rd1,00m";;4250204490558;90289090;Stk;;1.031,52;;;29,7;682;1070;704
0396012;"FLEXORIPP 1"" KH-KH 1""x190mm Rd1,25m";;4250204489736;90289090;Stk;;1.073,60;;;33,6;682;1320;704
0396012-DIBT;"FLEXORIPP 1"" KH-KH 1""x190mm Rd1,25m";;4250204497984;90289090;Stk;;1.479,92;;;41,8;682;1320;704
0396013;"FLEXORIPP 1"" KH-KH 1""x190mm Rd1,50m";;4250204490565;90289090;Stk;;1.143,79;;;38,4;682;1570;704
0396013-WRS;"FLEXORIPP 1"" KH-KH 1""x190mm Rd1,50m";;4255651703350;90289090;Stk;;1.660,51;;;38,4;682;1570;704
0396014;"FLEXORIPP 1"" KH-KH 1""x190mm Rd1,75m";;4250204491609;90289090;Stk;;1.249,02;;;42,5;682;1820;704
0396015;"FLEXORIPP 1"" KH-KH 1""x190mm Rd2,00m";;4250204491616;90289090;Stk;;1.354,29;;;46,4;682;2070;704
0396020;"FLEXORIPP 1¼"" KH-KH 1¼""x260mm Rd0,75m";;4250204492736;90289090;Stk;;1.312,17;;;27,5;682;820;704
0396021;"FLEXORIPP 1¼"" KH-KH 1¼""x260mm Rd1,00m";;4250204492743;90289090;Stk;;1.312,17;;;31,4;682;1070;704
0396022;"FLEXORIPP 1¼"" KH-KH 1¼""x260mm Rd1,25m";;4250204492750;90289090;Stk;;1.326,22;;;36,3;682;1320;704
0396023;"FLEXORIPP 1¼"" KH-KH 1¼""x260mm Rd1,50m";;4250204492767;90289090;Stk;;1.396,41;;;40,3;682;1570;704
0396024;"FLEXORIPP 1¼"" KH-KH 1¼""x260mm Rd1,75m";;4250204492774;90289090;Stk;;1.501,64;;;44;682;1820;704
0396025;"FLEXORIPP 1¼"" KH-KH 1¼""x260mm Rd2,00m";;4250204492781;90289090;Stk;;1.550,76;;;47,8;682;2070;704
0396030;"FLEXORIPP 1"" KH-KH 1¼""x175mm Rd0,75m";;4250204494679;90289090;Stk;;1.059,56;;;30,1;682;820;704
0396031;"FLEXORIPP 1"" KH-KH 1¼""x175mm Rd1,00m";;4250204491623;90289090;Stk;;1.059,56;;;30,1;682;1070;704
0396032;"FLEXORIPP 1"" KH-KH 1¼""x175mm Rd1,25m";;4250204489743;90289090;Stk;;1.101,69;;;33,6;682;1320;704
0396033;"FLEXORIPP 1"" KH-KH 1¼""x175mm Rd1,50m";;4250204491630;90289090;Stk;;1.171,83;;;38,8;682;1570;704
0396034;"FLEXORIPP 1"" KH-KH 1¼""x175mm Rd1,75m";;4250204491647;90289090;Stk;;1.277,10;;;42,8;682;1820;704
0396035;"FLEXORIPP 1"" KH-KH 1¼""x175mm Rd2,00m";;4250204492514;90289090;Stk;;1.382,36;;;46,7;682;2070;704
0396040;"FLEXORIPP 1"" KH-KH 1""x220mm Rd0,75m";;4250204494686;90289090;Stk;;1.059,56;;;30,1;682;1070;704
0396041;"FLEXORIPP 1"" KH-KH 1""x220mm Rd1,00m";;4250204491654;90289090;Stk;;1.059,56;;;29,8;682;1070;704
0396042;"FLEXORIPP 1"" KH-KH 1""x220mm Rd1,25m";;4250204491661;90289090;Stk;;1.101,69;;;34,7;682;1320;704
0396043;"FLEXORIPP 1"" KH-KH 1""x220mm Rd1,50m";;4250204491678;90289090;Stk;;1.171,83;;;38,5;682;1570;704
0396044;"FLEXORIPP 1"" KH-KH 1""x220mm Rd1,75m";;4250204491685;90289090;Stk;;1.277,10;;;42,5;682;1820;704
0396045;"FLEXORIPP 1"" KH-KH 1""x220mm Rd2,00m";;4250204490572;90289090;Stk;;1.382,36;;;46,4;682;2070;704
0396060;"FLEXORIPP 1"" KH-DM-KH 1""x190mm Rd0,75m";;4250204492521;90289090;Stk;;1.242,01;;;26,7;682;820;704
